Date,AdjClose,Target
2025-06-10,152.21,189.00
2025-06-11,153.26,189.00
2025-06-12,151.80,189.00
2025-06-13,152.52,189.00
2025-06-14,153.23,189.00
2025-06-15,151.65,189.00
2025-06-16,152.81,189.00
2025-06-17,152.38,189.00
2025-06-18,152.90,189.00
2025-06-19,154.42,189.00
2025-06-20,155.31,189.00
2025-06-21,156.23,189.00
2025-06-22,157.96,189.00
2025-06-23,157.37,189.00
2025-06-24,157.71,189.00
2025-06-25,158.56,189.00
2025-06-26,157.29,189.00
2025-06-27,158.14,189.00
2025-06-28,157.02,189.00
2025-06-29,158.08,189.00
2025-06-30,157.35,189.00
2025-07-01,157.02,189.00
2025-07-02,155.74,189.00
2025-07-03,156.38,189.00
2025-07-04,157.23,189.00
2025-07-05,157.31,189.00
2025-07-06,158.59,189.00
2025-07-07,160.14,189.00
2025-07-08,160.65,189.00
2025-07-09,160.43,189.00
2025-07-10,162.21,189.00
2025-07-11,163.00,189.00
2025-07-12,162.95,189.00
2025-07-13,161.42,189.00
2025-07-14,160.65,189.00
2025-07-15,162.45,189.00
2025-07-16,160.85,189.00
2025-07-17,161.98,189.00
2025-07-18,161.89,189.00
2025-07-19,161.40,189.00
2025-07-20,160.54,189.00
2025-07-21,161.57,189.00
2025-07-22,162.00,189.00
2025-07-23,162.75,189.00
2025-07-24,161.23,189.00
2025-07-25,162.99,189.00
2025-07-26,162.86,189.00
2025-07-27,162.10,189.00
2025-07-28,163.61,189.00
2025-07-29,162.79,189.00
2025-07-30,162.37,189.00
2025-07-31,163.71,189.00
2025-08-01,163.61,189.00
2025-08-02,162.61,189.00
2025-08-03,161.15,189.00
2025-08-04,160.33,189.00
2025-08-05,161.00,189.00
2025-08-06,162.08,189.00
2025-08-07,163.77,189.00
2025-08-08,164.31,189.00
2025-08-09,163.19,197.40
2025-08-10,162.50,197.40
2025-08-11,162.86,197.40
2025-08-12,164.24,197.40
2025-08-13,163.36,197.40
2025-08-14,161.83,197.40
2025-08-15,160.18,197.40
2025-08-16,161.77,197.40
2025-08-17,161.50,197.40
2025-08-18,162.10,197.40
2025-08-19,163.63,197.40
2025-08-20,164.99,197.40
2025-08-21,165.94,197.40
2025-08-22,164.37,197.40
2025-08-23,165.42,197.40
2025-08-24,165.13,197.40
2025-08-25,166.61,197.40
2025-08-26,166.47,197.40
2025-08-27,165.13,197.40
2025-08-28,163.50,197.40
2025-08-29,164.00,197.40
2025-08-30,164.11,197.40
2025-08-31,165.66,197.40
2025-09-01,165.71,197.40
2025-09-02,167.18,197.40
2025-09-03,166.43,197.40
2025-09-04,164.86,197.40
2025-09-05,166.56,197.40
2025-09-06,166.73,197.40
2025-09-07,166.62,197.40
2025-09-08,165.64,197.40
2025-09-09,166.14,197.40
2025-09-10,166.69,197.40
2025-09-11,166.52,197.40
2025-09-12,168.23,197.40
2025-09-13,167.09,197.40
2025-09-14,168.92,197.40
2025-09-15,169.88,197.40
2025-09-16,168.55,197.40
2025-09-17,167.89,197.40
2025-09-18,168.55,197.40
2025-09-19,166.95,197.40
2025-09-20,167.31,197.40
2025-09-21,168.33,197.40
2025-09-22,168.57,197.40
2025-09-23,167.58,197.40
2025-09-24,167.36,197.40
2025-09-25,166.26,197.40
2025-09-26,168.04,197.40
2025-09-27,166.84,197.40
2025-09-28,166.16,197.40
2025-09-29,167.33,197.40
2025-09-30,166.45,197.40
2025-10-01,166.49,197.40
2025-10-02,165.41,197.40
