Date,AdjClose,Target
2025-06-10,130.41,171.00
2025-06-11,129.07,171.00
2025-06-12,128.11,171.00
2025-06-13,127.67,171.00
2025-06-14,128.97,171.00
2025-06-15,129.63,171.00
2025-06-16,130.46,171.00
2025-06-17,129.75,171.00
2025-06-18,130.80,171.00
2025-06-19,130.37,171.00
2025-06-20,130.30,171.00
2025-06-21,131.78,171.00
2025-06-22,132.66,171.00
2025-06-23,131.98,171.00
2025-06-24,131.48,171.00
2025-06-25,131.75,171.00
2025-06-26,131.94,171.00
2025-06-27,130.69,171.00
2025-06-28,130.44,171.00
2025-06-29,131.77,171.00
2025-06-30,131.92,171.00
2025-07-01,132.28,171.00
2025-07-02,132.84,171.00
2025-07-03,131.73,171.00
2025-07-04,130.38,171.00
2025-07-05,130.64,171.00
2025-07-06,129.57,171.00
2025-07-07,128.55,171.00
2025-07-08,128.60,171.00
2025-07-09,129.59,171.00
2025-07-10,130.65,171.00
2025-07-11,130.79,171.00
2025-07-12,130.74,171.00
2025-07-13,129.55,171.00
2025-07-14,129.83,171.00
2025-07-15,128.44,171.00
2025-07-16,127.08,171.00
2025-07-17,127.02,171.00
2025-07-18,127.19,171.00
2025-07-19,126.65,171.00
2025-07-20,125.72,171.00
2025-07-21,125.07,171.00
2025-07-22,126.30,171.00
2025-07-23,126.46,171.00
2025-07-24,126.50,171.00
2025-07-25,127.28,171.00
2025-07-26,127.24,171.00
2025-07-27,126.91,171.00
2025-07-28,126.33,171.00
2025-07-29,125.83,171.00
2025-07-30,125.51,171.00
2025-07-31,125.13,171.00
2025-08-01,126.23,171.00
2025-08-02,125.92,171.00
2025-08-03,125.63,171.00
2025-08-04,125.98,171.00
2025-08-05,126.10,171.00
2025-08-06,124.79,171.00
2025-08-07,125.76,171.00
2025-08-08,127.18,171.00
2025-08-09,128.47,178.60
2025-08-10,129.59,178.60
2025-08-11,129.20,178.60
2025-08-12,130.76,178.60
2025-08-13,129.85,178.60
2025-08-14,129.34,178.60
2025-08-15,130.31,178.60
2025-08-16,130.35,178.60
2025-08-17,130.66,178.60
2025-08-18,132.14,178.60
2025-08-19,132.09,178.60
2025-08-20,131.95,178.60
2025-08-21,132.79,178.60
2025-08-22,132.50,178.60
2025-08-23,132.59,178.60
2025-08-24,133.87,178.60
2025-08-25,134.85,178.60
2025-08-26,133.94,178.60
2025-08-27,135.41,178.60
2025-08-28,135.39,178.60
2025-08-29,137.04,178.60
2025-08-30,135.78,178.60
2025-08-31,136.10,178.60
2025-09-01,135.10,178.60
2025-09-02,135.86,178.60
2025-09-03,135.95,178.60
2025-09-04,135.35,178.60
2025-09-05,136.72,178.60
2025-09-06,138.23,178.60
2025-09-07,137.95,178.60
2025-09-08,136.51,178.60
2025-09-09,137.98,178.60
2025-09-10,138.64,178.60
2025-09-11,139.22,178.60
2025-09-12,138.91,178.60
2025-09-13,137.84,178.60
2025-09-14,137.50,178.60
2025-09-15,138.38,178.60
2025-09-16,138.94,178.60
2025-09-17,139.99,178.60
2025-09-18,140.57,178.60
2025-09-19,142.10,178.60
2025-09-20,140.93,178.60
2025-09-21,141.12,178.60
2025-09-22,140.38,178.60
2025-09-23,140.52,178.60
2025-09-24,140.98,178.60
2025-09-25,140.01,178.60
2025-09-26,141.70,178.60
2025-09-27,141.56,178.60
2025-09-28,142.50,178.60
2025-09-29,142.89,178.60
2025-09-30,142.34,178.60
2025-10-01,141.04,178.60
2025-10-02,140.05,178.60
2025-10-03,138.87,178.60
2025-10-04,139.48,178.60
2025-10-05,140.94,178.60
2025-10-06,139.53,178.60
2025-10-07,139.79,178.60
2025-10-08,139.11,178.60
2025-10-09,138.10,178.60
2025-10-10,137.60,178.60
2025-10-11,138.40,178.60
2025-10-12,137.74,178.60
2025-10-13,139.30,178.60
2025-10-14,139.01,178.60
2025-10-15,137.90,178.60
2025-10-16,137.76,178.60
2025-10-17,137.77,178.60
2025-10-18,138.67,178.60
2025-10-19,137.66,178.60
2025-10-20,138.13,178.60
2025-10-21,139.13,178.60
2025-10-22,138.48,178.60
2025-10-23,137.20,178.60
2025-10-24,136.59,178.60
2025-10-25,138.03,178.60
2025-10-26,137.16,178.60
2025-10-27,136.60,178.60
2025-10-28,137.16,178.60
2025-10-29,137.93,178.60
2025-10-30,138.44,178.60
2025-10-31,139.10,178.60
2025-11-01,140.55,178.60
2025-11-02,139.46,178.60
2025-11-03,138.27,178.60
2025-11-04,139.52,178.60
2025-11-05,140.24,178.60
2025-11-06,139.43,178.60
2025-11-07,139.93,186.58
2025-11-08,139.09,186.58
2025-11-09,140.68,186.58
2025-11-10,141.40,186.58
2025-11-11,140.30,186.58
2025-11-12,141.03,186.58
2025-11-13,140.01,186.58
2025-11-14,140.82,186.58
2025-11-15,141.71,186.58
2025-11-16,141.20,186.58
2025-11-17,141.42,186.58
2025-11-18,140.95,186.58
2025-11-19,141.20,186.58
2025-11-20,141.75,186.58
2025-11-21,141.60,186.58
2025-11-22,141.72,186.58
2025-11-23,141.10,186.58
2025-11-24,141.01,186.58
2025-11-25,140.83,186.58
2025-11-26,140.57,186.58
2025-11-27,140.67,186.58
2025-11-28,140.17,186.58
2025-11-29,141.08,186.58
2025-11-30,142.77,186.58
2025-12-01,142.83,186.58
2025-12-02,141.44,186.58
2025-12-03,142.20,186.58
2025-12-04,140.82,186.58
2025-12-05,141.00,186.58
2025-12-06,140.84,186.58
2025-12-07,140.50,186.58
2025-12-08,140.06,186.58
2025-12-09,139.95,186.58
2025-12-10,139.87,186.58
2025-12-11,141.02,186.58
2025-12-12,139.67,186.58
2025-12-13,140.19,186.58
2025-12-14,140.87,186.58
2025-12-15,140.16,186.58
2025-12-16,139.01,186.58
2025-12-17,139.97,186.58
2025-12-18,141.25,186.58
2025-12-19,142.34,186.58
2025-12-20,141.73,186.58
2025-12-21,143.15,186.58
2025-12-22,142.37,186.58
2025-12-23,142.06,186.58
2025-12-24,143.63,186.58
2025-12-25,142.97,186.58
2025-12-26,143.31,186.58
2025-12-27,143.63,186.58
2025-12-28,144.78,186.58
2025-12-29,146.14,186.58
2025-12-30,144.76,186.58
2025-12-31,144.70,186.58
2026-01-01,143.32,186.58
2026-01-02,142.50,186.58
2026-01-03,143.75,186.58
2026-01-04,144.26,186.58
2026-01-05,145.94,186.58
2026-01-06,145.04,186.58
2026-01-07,146.12,186.58
2026-01-08,145.34,186.58
2026-01-09,145.39,186.58
2026-01-10,145.17,186.58
2026-01-11,145.19,186.58
2026-01-12,146.45,186.58
2026-01-13,145.50,186.58
2026-01-14,145.62,186.58
2026-01-15,146.28,186.58
2026-01-16,146.40,186.58
2026-01-17,147.86,186.58
2026-01-18,148.65,186.58
2026-01-19,147.46,186.58
2026-01-20,148.06,186.58
2026-01-21,146.71,186.58
2026-01-22,147.74,186.58
2026-01-23,147.95,186.58
2026-01-24,149.10,186.58
2026-01-25,150.65,186.58
2026-01-26,149.50,186.58
2026-01-27,149.09,186.58
2026-01-28,148.28,186.58
2026-01-29,148.37,186.58
2026-01-30,147.08,186.58
2026-01-31,146.27,186.58
2026-02-01,147.27,186.58
2026-02-02,147.00,186.58
2026-02-03,147.39,186.58
2026-02-04,145.95,186.58
2026-02-05,144.55,186.58
2026-02-06,144.38,186.58
2026-02-07,145.33,186.58
2026-02-08,145.44,186.58
2026-02-09,146.37,186.58
2026-02-10,145.51,186.58
2026-02-11,146.42,186.58
2026-02-12,147.44,186.58
2026-02-13,147.62,186.58
2026-02-14,160.00,190.00
