Date,AdjClose,Target
2025-06-10,196.81,184.50
2025-06-11,195.23,184.50
2025-06-12,193.81,184.50
2025-06-13,192.94,184.50
2025-06-14,193.88,184.50
2025-06-15,192.25,184.50
2025-06-16,192.21,184.50
2025-06-17,191.37,184.50
2025-06-18,190.63,184.50
2025-06-19,190.63,184.50
2025-06-20,191.80,184.50
2025-06-21,192.90,184.50
2025-06-22,191.80,184.50
2025-06-23,190.53,184.50
2025-06-24,189.89,184.50
2025-06-25,190.76,184.50
2025-06-26,192.17,184.50
2025-06-27,192.68,184.50
2025-06-28,191.34,184.50
2025-06-29,192.09,184.50
2025-06-30,193.03,184.50
2025-07-01,194.32,184.50
2025-07-02,195.41,184.50
2025-07-03,193.61,184.50
2025-07-04,194.63,184.50
2025-07-05,194.57,184.50
2025-07-06,193.89,184.50
2025-07-07,194.76,184.50
2025-07-08,194.02,184.50
2025-07-09,194.50,184.50
2025-07-10,194.70,184.50
2025-07-11,195.35,184.50
2025-07-12,196.09,184.50
2025-07-13,195.17,184.50
2025-07-14,194.25,184.50
2025-07-15,194.07,184.50
2025-07-16,193.28,184.50
2025-07-17,193.11,184.50
2025-07-18,192.97,184.50
2025-07-19,193.28,184.50
2025-07-20,192.31,184.50
2025-07-21,192.47,184.50
2025-07-22,192.94,184.50
2025-07-23,192.52,184.50
2025-07-24,191.56,184.50
2025-07-25,191.10,184.50
2025-07-26,191.76,184.50
2025-07-27,192.37,184.50
2025-07-28,193.97,184.50
2025-07-29,193.81,184.50
2025-07-30,192.41,184.50
2025-07-31,192.44,184.50
2025-08-01,192.13,184.50
2025-08-02,190.43,184.50
2025-08-03,191.50,184.50
2025-08-04,192.73,184.50
2025-08-05,191.72,184.50
2025-08-06,192.04,184.50
2025-08-07,190.91,184.50
2025-08-08,189.98,184.50
2025-08-09,189.71,192.70
2025-08-10,189.28,192.70
2025-08-11,189.86,192.70
2025-08-12,189.39,192.70
2025-08-13,190.62,192.70
2025-08-14,191.27,192.70
2025-08-15,192.25,192.70
2025-08-16,190.59,192.70
2025-08-17,189.74,192.70
2025-08-18,189.23,192.70
2025-08-19,187.83,192.70
2025-08-20,188.66,192.70
2025-08-21,188.37,192.70
2025-08-22,188.26,192.70
2025-08-23,186.78,192.70
2025-08-24,185.10,192.70
2025-08-25,186.12,192.70
2025-08-26,185.99,192.70
2025-08-27,185.47,192.70
2025-08-28,186.62,192.70
2025-08-29,186.17,192.70
2025-08-30,184.54,192.70
2025-08-31,183.65,192.70
2025-09-01,183.43,192.70
2025-09-02,183.20,192.70
2025-09-03,182.21,192.70
2025-09-04,180.87,192.70
2025-09-05,179.90,192.70
2025-09-06,180.88,192.70
2025-09-07,181.49,192.70
2025-09-08,182.71,192.70
2025-09-09,183.13,192.70
2025-09-10,181.35,192.70
2025-09-11,181.09,192.70
2025-09-12,180.00,192.70
2025-09-13,180.53,192.70
2025-09-14,179.65,192.70
2025-09-15,179.32,192.70
2025-09-16,179.38,192.70
2025-09-17,179.06,192.70
2025-09-18,179.87,192.70
2025-09-19,179.29,192.70
2025-09-20,178.31,192.70
2025-09-21,178.74,192.70
2025-09-22,179.68,192.70
2025-09-23,177.99,192.70
2025-09-24,177.01,192.70
2025-09-25,175.98,192.70
2025-09-26,176.28,192.70
2025-09-27,176.82,192.70
2025-09-28,175.00,192.70
2025-09-29,175.45,192.70
2025-09-30,174.93,192.70
2025-10-01,173.49,192.70
2025-10-02,174.83,192.70
2025-10-03,175.27,192.70
2025-10-04,174.52,192.70
2025-10-05,174.05,192.70
2025-10-06,175.24,192.70
2025-10-07,176.24,192.70
2025-10-08,175.52,192.70
2025-10-09,174.52,192.70
2025-10-10,174.96,192.70
2025-10-11,173.28,192.70
2025-10-12,171.65,192.70
2025-10-13,172.51,192.70
2025-10-14,173.00,192.70
2025-10-15,173.53,192.70
2025-10-16,174.38,192.70
2025-10-17,175.04,192.70
2025-10-18,176.48,192.70
2025-10-19,175.80,192.70
2025-10-20,176.86,192.70
2025-10-21,175.66,192.70
2025-10-22,176.76,192.70
2025-10-23,176.17,192.70
2025-10-24,174.53,192.70
2025-10-25,174.41,192.70
2025-10-26,173.30,192.70
2025-10-27,171.71,192.70
2025-10-28,170.95,192.70
2025-10-29,170.92,192.70
2025-10-30,170.43,192.70
2025-10-31,170.35,192.70
2025-11-01,171.17,192.70
2025-11-02,169.53,192.70
2025-11-03,168.43,192.70
2025-11-04,169.12,192.70
2025-11-05,167.75,192.70
2025-11-06,167.48,192.70
2025-11-07,168.44,201.31
2025-11-08,169.50,201.31
2025-11-09,169.43,201.31
2025-11-10,168.20,201.31
2025-11-11,168.40,201.31
2025-11-12,169.40,201.31
2025-11-13,170.39,201.31
2025-11-14,169.23,201.31
2025-11-15,169.51,201.31
2025-11-16,169.43,201.31
2025-11-17,170.83,201.31
2025-11-18,171.64,201.31
2025-11-19,172.14,201.31
2025-11-20,173.84,201.31
2025-11-21,174.15,201.31
2025-11-22,174.88,201.31
2025-11-23,173.03,201.31
2025-11-24,171.83,201.31
2025-11-25,171.51,201.31
2025-11-26,171.63,201.31
2025-11-27,172.54,201.31
2025-11-28,173.96,201.31
2025-11-29,174.45,201.31
2025-11-30,175.78,201.31
2025-12-01,176.04,201.31
2025-12-02,177.26,201.31
2025-12-03,178.61,201.31
2025-12-04,180.04,201.31
2025-12-05,180.31,201.31
2025-12-06,180.23,201.31
2025-12-07,180.45,201.31
2025-12-08,179.38,201.31
2025-12-09,179.13,201.31
2025-12-10,180.78,201.31
2025-12-11,182.15,201.31
2025-12-12,180.44,201.31
2025-12-13,180.06,201.31
2025-12-14,179.12,201.31
2025-12-15,179.86,201.31
2025-12-16,178.81,201.31
2025-12-17,179.70,201.31
2025-12-18,177.85,201.31
2025-12-19,177.81,201.31
2025-12-20,179.44,201.31
2025-12-21,178.50,201.31
2025-12-22,179.52,201.31
2025-12-23,180.56,201.31
2025-12-24,181.32,201.31
2025-12-25,182.77,201.31
2025-12-26,182.36,201.31
2025-12-27,181.61,201.31
2025-12-28,180.88,201.31
2025-12-29,181.47,201.31
2025-12-30,182.96,201.31
2025-12-31,182.43,201.31
2026-01-01,181.92,201.31
2026-01-02,183.00,201.31
2026-01-03,181.19,201.31
2026-01-04,179.64,201.31
2026-01-05,177.92,201.31
2026-01-06,179.00,201.31
2026-01-07,178.92,201.31
2026-01-08,177.62,201.31
2026-01-09,179.13,201.31
2026-01-10,178.36,201.31
2026-01-11,179.04,201.31
2026-01-12,179.76,201.31
2026-01-13,179.46,201.31
2026-01-14,179.29,201.31
2026-01-15,180.17,201.31
2026-01-16,181.32,201.31
2026-01-17,181.85,201.31
2026-01-18,181.29,201.31
2026-01-19,182.24,201.31
2026-01-20,182.50,201.31
2026-01-21,180.69,201.31
2026-01-22,180.71,201.31
2026-01-23,180.18,201.31
2026-01-24,179.03,201.31
2026-01-25,178.44,201.31
2026-01-26,179.79,201.31
2026-01-27,181.06,201.31
2026-01-28,182.03,201.31
2026-01-29,180.61,201.31
2026-01-30,181.64,201.31
2026-01-31,181.65,201.31
2026-02-01,180.00,201.31
2026-02-02,179.98,201.31
2026-02-03,179.52,201.31
2026-02-04,181.14,201.31
2026-02-05,179.78,201.31
2026-02-06,180.75,201.31
2026-02-07,181.69,201.31
2026-02-08,181.57,201.31
2026-02-09,182.37,201.31
2026-02-10,180.72,201.31
2026-02-11,180.78,201.31
2026-02-12,182.26,201.31
2026-02-13,183.12,201.31
2026-02-14,180.00,205.00
