Date,AdjClose,Target
2025-06-10,101.83,117.00
2025-06-11,101.16,117.00
2025-06-12,100.28,117.00
2025-06-13,99.56,117.00
2025-06-14,99.72,117.00
2025-06-15,100.55,117.00
2025-06-16,100.07,117.00
2025-06-17,100.49,117.00
2025-06-18,100.31,117.00
2025-06-19,99.45,117.00
2025-06-20,99.50,117.00
2025-06-21,99.11,117.00
2025-06-22,99.62,117.00
2025-06-23,98.76,117.00
2025-06-24,98.60,117.00
2025-06-25,99.74,117.00
2025-06-26,100.83,117.00
2025-06-27,101.18,117.00
2025-06-28,102.30,117.00
2025-06-29,102.93,117.00
2025-06-30,102.05,117.00
2025-07-01,101.25,117.00
2025-07-02,100.40,117.00
2025-07-03,100.97,117.00
2025-07-04,100.55,117.00
2025-07-05,100.13,117.00
2025-07-06,99.92,117.00
2025-07-07,100.49,117.00
2025-07-08,100.90,117.00
2025-07-09,101.36,117.00
2025-07-10,100.52,117.00
2025-07-11,100.59,117.00
2025-07-12,101.58,117.00
2025-07-13,102.71,117.00
2025-07-14,103.81,117.00
2025-07-15,103.61,117.00
2025-07-16,103.40,117.00
2025-07-17,102.98,117.00
2025-07-18,102.06,117.00
2025-07-19,101.80,117.00
2025-07-20,101.86,117.00
2025-07-21,102.84,117.00
2025-07-22,104.01,117.00
2025-07-23,104.86,117.00
2025-07-24,104.95,117.00
2025-07-25,104.44,117.00
2025-07-26,103.61,117.00
2025-07-27,104.32,117.00
2025-07-28,105.13,117.00
2025-07-29,104.82,117.00
2025-07-30,104.40,117.00
2025-07-31,105.26,117.00
2025-08-01,104.80,117.00
2025-08-02,105.49,117.00
2025-08-03,106.34,117.00
2025-08-04,106.79,117.00
2025-08-05,106.36,117.00
2025-08-06,107.11,117.00
2025-08-07,106.19,117.00
2025-08-08,105.99,117.00
2025-08-09,106.69,122.20
2025-08-10,106.40,122.20
2025-08-11,107.42,122.20
2025-08-12,107.60,122.20
2025-08-13,108.22,122.20
2025-08-14,107.33,122.20
2025-08-15,106.42,122.20
2025-08-16,106.45,122.20
2025-08-17,106.30,122.20
2025-08-18,105.53,122.20
2025-08-19,105.06,122.20
2025-08-20,104.68,122.20
2025-08-21,103.84,122.20
2025-08-22,103.80,122.20
2025-08-23,104.87,122.20
2025-08-24,104.17,122.20
2025-08-25,103.25,122.20
2025-08-26,102.27,122.20
2025-08-27,102.62,122.20
2025-08-28,103.58,122.20
2025-08-29,103.32,122.20
2025-08-30,104.33,122.20
2025-08-31,105.45,122.20
2025-09-01,104.89,122.20
2025-09-02,105.36,122.20
2025-09-03,105.46,122.20
2025-09-04,105.76,122.20
2025-09-05,105.46,122.20
2025-09-06,106.58,122.20
2025-09-07,107.59,122.20
2025-09-08,107.50,122.20
2025-09-09,106.45,122.20
2025-09-10,105.55,122.20
2025-09-11,106.51,122.20
2025-09-12,106.13,122.20
2025-09-13,106.37,122.20
2025-09-14,105.38,122.20
2025-09-15,105.70,122.20
2025-09-16,105.40,122.20
2025-09-17,105.09,122.20
2025-09-18,105.88,122.20
2025-09-19,106.50,122.20
2025-09-20,107.30,122.20
2025-09-21,107.78,122.20
2025-09-22,108.58,122.20
2025-09-23,108.24,122.20
2025-09-24,108.40,122.20
2025-09-25,108.99,122.20
2025-09-26,109.77,122.20
2025-09-27,108.96,122.20
2025-09-28,110.08,122.20
2025-09-29,110.80,122.20
2025-09-30,111.46,122.20
2025-10-01,112.55,122.20
2025-10-02,111.89,122.20
2025-10-03,110.83,122.20
2025-10-04,111.94,122.20
2025-10-05,112.69,122.20
2025-10-06,111.98,122.20
2025-10-07,112.46,122.20
2025-10-08,112.34,122.20
2025-10-09,113.30,122.20
2025-10-10,112.34,122.20
2025-10-11,112.08,122.20
2025-10-12,112.33,122.20
2025-10-13,113.44,122.20
2025-10-14,112.59,122.20
2025-10-15,113.70,122.20
2025-10-16,114.73,122.20
2025-10-17,115.58,122.20
2025-10-18,115.54,122.20
2025-10-19,114.45,122.20
2025-10-20,115.11,122.20
2025-10-21,115.48,122.20
2025-10-22,116.32,122.20
2025-10-23,115.25,122.20
2025-10-24,116.06,122.20
2025-10-25,116.34,122.20
2025-10-26,117.07,122.20
2025-10-27,117.94,122.20
2025-10-28,118.61,122.20
2025-10-29,117.81,122.20
2025-10-30,117.70,122.20
2025-10-31,117.45,122.20
2025-11-01,118.03,122.20
2025-11-02,118.02,122.20
2025-11-03,118.02,122.20
2025-11-04,118.01,122.20
2025-11-05,117.95,122.20
2025-11-06,118.61,122.20
2025-11-07,118.90,127.66
2025-11-08,117.99,127.66
2025-11-09,117.65,127.66
2025-11-10,117.77,127.66
2025-11-11,118.75,127.66
2025-11-12,117.80,127.66
2025-11-13,117.57,127.66
2025-11-14,117.32,127.66
2025-11-15,118.08,127.66
2025-11-16,118.66,127.66
2025-11-17,117.79,127.66
2025-11-18,117.74,127.66
2025-11-19,117.89,127.66
2025-11-20,117.77,127.66
2025-11-21,116.74,127.66
2025-11-22,116.88,127.66
2025-11-23,117.27,127.66
2025-11-24,116.81,127.66
2025-11-25,117.01,127.66
2025-11-26,116.56,127.66
2025-11-27,116.84,127.66
2025-11-28,116.34,127.66
2025-11-29,115.75,127.66
2025-11-30,115.01,127.66
2025-12-01,114.22,127.66
2025-12-02,113.94,127.66
2025-12-03,114.33,127.66
2025-12-04,113.60,127.66
2025-12-05,113.23,127.66
2025-12-06,112.38,127.66
2025-12-07,111.67,127.66
2025-12-08,111.29,127.66
2025-12-09,111.28,127.66
2025-12-10,112.44,127.66
2025-12-11,113.08,127.66
2025-12-12,113.12,127.66
2025-12-13,113.92,127.66
2025-12-14,114.23,127.66
2025-12-15,113.98,127.66
2025-12-16,113.64,127.66
2025-12-17,113.92,127.66
2025-12-18,114.20,127.66
2025-12-19,115.21,127.66
2025-12-20,114.25,127.66
2025-12-21,114.97,127.66
2025-12-22,115.19,127.66
2025-12-23,116.31,127.66
