Date,AdjClose,Target
2025-06-10,126.21,148.50
2025-06-11,126.71,148.50
2025-06-12,128.32,148.50
2025-06-13,128.20,148.50
2025-06-14,127.00,148.50
2025-06-15,126.41,148.50
2025-06-16,126.80,148.50
2025-06-17,125.38,148.50
2025-06-18,125.55,148.50
2025-06-19,125.97,148.50
2025-06-20,126.68,148.50
2025-06-21,126.61,148.50
2025-06-22,127.14,148.50
2025-06-23,127.37,148.50
2025-06-24,127.44,148.50
2025-06-25,126.06,148.50
2025-06-26,126.58,148.50
2025-06-27,128.07,148.50
2025-06-28,127.70,148.50
2025-06-29,127.33,148.50
2025-06-30,128.24,148.50
2025-07-01,127.80,148.50
2025-07-02,128.61,148.50
2025-07-03,130.03,148.50
2025-07-04,130.00,148.50
2025-07-05,131.03,148.50
2025-07-06,131.69,148.50
2025-07-07,131.66,148.50
2025-07-08,130.78,148.50
2025-07-09,130.23,148.50
2025-07-10,130.49,148.50
2025-07-11,129.78,148.50
2025-07-12,130.35,148.50
2025-07-13,129.89,148.50
2025-07-14,130.82,148.50
2025-07-15,131.29,148.50
2025-07-16,130.67,148.50
2025-07-17,131.88,148.50
2025-07-18,131.27,148.50
2025-07-19,132.57,148.50
2025-07-20,133.26,148.50
2025-07-21,132.39,148.50
2025-07-22,133.99,148.50
2025-07-23,134.30,148.50
2025-07-24,134.85,148.50
2025-07-25,134.64,148.50
2025-07-26,133.97,148.50
2025-07-27,133.54,148.50
2025-07-28,133.98,148.50
2025-07-29,135.47,148.50
2025-07-30,135.32,148.50
2025-07-31,135.68,148.50
2025-08-01,135.68,148.50
2025-08-02,136.10,148.50
2025-08-03,136.52,148.50
2025-08-04,135.60,148.50
2025-08-05,134.84,148.50
2025-08-06,133.64,148.50
2025-08-07,132.71,148.50
2025-08-08,133.61,148.50
2025-08-09,132.78,155.10
2025-08-10,132.59,155.10
2025-08-11,131.50,155.10
2025-08-12,130.45,155.10
2025-08-13,130.70,155.10
2025-08-14,129.62,155.10
2025-08-15,128.67,155.10
2025-08-16,128.42,155.10
2025-08-17,127.85,155.10
2025-08-18,128.87,155.10
2025-08-19,129.19,155.10
2025-08-20,129.72,155.10
2025-08-21,128.55,155.10
2025-08-22,129.07,155.10
2025-08-23,129.13,155.10
2025-08-24,128.15,155.10
2025-08-25,128.67,155.10
2025-08-26,127.72,155.10
2025-08-27,128.10,155.10
2025-08-28,127.09,155.10
2025-08-29,126.26,155.10
2025-08-30,127.42,155.10
2025-08-31,129.07,155.10
2025-09-01,130.55,155.10
2025-09-02,132.09,155.10
2025-09-03,131.04,155.10
2025-09-04,131.44,155.10
2025-09-05,130.47,155.10
2025-09-06,131.61,155.10
2025-09-07,131.12,155.10
2025-09-08,130.99,155.10
2025-09-09,132.35,155.10
2025-09-10,132.02,155.10
2025-09-11,132.67,155.10
2025-09-12,132.82,155.10
2025-09-13,134.16,155.10
2025-09-14,132.84,155.10
2025-09-15,131.68,155.10
2025-09-16,131.77,155.10
2025-09-17,130.57,155.10
2025-09-18,129.20,155.10
2025-09-19,130.62,155.10
2025-09-20,130.34,155.10
2025-09-21,129.70,155.10
2025-09-22,128.44,155.10
2025-09-23,128.51,155.10
2025-09-24,128.16,155.10
2025-09-25,127.79,155.10
2025-09-26,126.37,155.10
2025-09-27,126.15,155.10
2025-09-28,125.52,155.10
2025-09-29,126.79,155.10
2025-09-30,127.24,155.10
2025-10-01,128.81,155.10
2025-10-02,127.64,155.10
2025-10-03,126.96,155.10
2025-10-04,127.55,155.10
2025-10-05,127.87,155.10
2025-10-06,129.28,155.10
2025-10-07,130.56,155.10
2025-10-08,130.34,155.10
2025-10-09,129.72,155.10
2025-10-10,129.21,155.10
2025-10-11,128.18,155.10
2025-10-12,128.19,155.10
2025-10-13,128.25,155.10
2025-10-14,129.70,155.10
2025-10-15,128.91,155.10
2025-10-16,129.47,155.10
2025-10-17,128.10,155.10
2025-10-18,127.36,155.10
2025-10-19,126.49,155.10
2025-10-20,126.67,155.10
2025-10-21,126.58,155.10
2025-10-22,127.16,155.10
2025-10-23,125.92,155.10
2025-10-24,124.92,155.10
2025-10-25,125.36,155.10
2025-10-26,126.10,155.10
2025-10-27,126.69,155.10
2025-10-28,126.88,155.10
2025-10-29,125.79,155.10
2025-10-30,126.81,155.10
2025-10-31,127.62,155.10
2025-11-01,128.38,155.10
2025-11-02,128.08,155.10
2025-11-03,126.80,155.10
2025-11-04,126.42,155.10
2025-11-05,127.81,155.10
2025-11-06,127.23,155.10
2025-11-07,125.92,162.03
2025-11-08,124.93,162.03
2025-11-09,123.64,162.03
2025-11-10,123.20,162.03
2025-11-11,122.35,162.03
2025-11-12,121.09,162.03
2025-11-13,119.84,162.03
2025-11-14,119.78,162.03
2025-11-15,120.42,162.03
2025-11-16,121.18,162.03
2025-11-17,122.00,162.03
2025-11-18,122.94,162.03
2025-11-19,123.88,162.03
2025-11-20,123.64,162.03
2025-11-21,123.61,162.03
2025-11-22,122.81,162.03
2025-11-23,124.02,162.03
2025-11-24,124.45,162.03
2025-11-25,125.76,162.03
2025-11-26,125.05,162.03
2025-11-27,125.95,162.03
2025-11-28,126.55,162.03
2025-11-29,126.72,162.03
2025-11-30,125.59,162.03
2025-12-01,126.95,162.03
2025-12-02,127.62,162.03
2025-12-03,129.26,162.03
2025-12-04,130.66,162.03
2025-12-05,129.95,162.03
2025-12-06,129.12,162.03
2025-12-07,130.70,162.03
2025-12-08,131.17,162.03
2025-12-09,132.33,162.03
2025-12-10,132.63,162.03
2025-12-11,132.15,162.03
2025-12-12,132.90,162.03
2025-12-13,132.47,162.03
2025-12-14,133.42,162.03
2025-12-15,133.40,162.03
2025-12-16,134.78,162.03
2025-12-17,134.70,162.03
2025-12-18,136.17,162.03
2025-12-19,136.09,162.03
2025-12-20,137.28,162.03
2025-12-21,138.82,162.03
2025-12-22,139.36,162.03
2025-12-23,140.46,162.03
2025-12-24,139.88,162.03
2025-12-25,138.78,162.03
2025-12-26,139.17,162.03
2025-12-27,137.76,162.03
2025-12-28,138.13,162.03
2025-12-29,137.50,162.03
2025-12-30,138.86,162.03
2025-12-31,138.34,162.03
2026-01-01,139.20,162.03
2026-01-02,138.12,162.03
2026-01-03,136.92,162.03
2026-01-04,138.13,162.03
2026-01-05,138.05,162.03
2026-01-06,139.22,162.03
2026-01-07,138.55,162.03
2026-01-08,139.30,162.03
2026-01-09,139.73,162.03
2026-01-10,140.32,162.03
2026-01-11,141.44,162.03
2026-01-12,142.26,162.03
2026-01-13,141.91,162.03
2026-01-14,142.35,162.03
2026-01-15,141.69,162.03
2026-01-16,140.28,162.03
2026-01-17,140.38,162.03
2026-01-18,139.71,162.03
2026-01-19,139.01,162.03
2026-01-20,140.35,162.03
2026-01-21,140.27,162.03
2026-01-22,140.69,162.03
2026-01-23,139.44,162.03
2026-01-24,139.88,162.03
2026-01-25,140.19,162.03
2026-01-26,141.08,162.03
2026-01-27,140.94,162.03
2026-01-28,140.43,162.03
2026-01-29,140.76,162.03
2026-01-30,142.35,162.03
2026-01-31,143.68,162.03
2026-02-01,144.78,162.03
2026-02-02,145.36,162.03
2026-02-03,144.34,162.03
2026-02-04,145.77,162.03
2026-02-05,145.44,162.03
2026-02-06,146.19,162.03
2026-02-07,147.03,162.03
2026-02-08,146.03,162.03
2026-02-09,146.04,162.03
2026-02-10,147.08,162.03
2026-02-11,148.66,162.03
2026-02-12,149.30,162.03
2026-02-13,147.91,162.03
2026-02-14,155.00,165.00
