Date,AdjClose,Target
2025-06-10,55.77,57.60
2025-06-11,56.02,57.60
2025-06-12,56.32,57.60
2025-06-13,56.46,57.60
2025-06-14,56.24,57.60
2025-06-15,56.09,57.60
2025-06-16,56.09,57.60
2025-06-17,55.56,57.60
2025-06-18,55.01,57.60
2025-06-19,55.08,57.60
2025-06-20,55.56,57.60
2025-06-21,55.57,57.60
2025-06-22,55.76,57.60
2025-06-23,56.04,57.60
2025-06-24,56.18,57.60
2025-06-25,56.72,57.60
2025-06-26,56.85,57.60
2025-06-27,57.01,57.60
2025-06-28,56.94,57.60
2025-06-29,56.99,57.60
2025-06-30,57.12,57.60
2025-07-01,57.26,57.60
2025-07-02,57.82,57.60
2025-07-03,57.33,57.60
2025-07-04,57.63,57.60
2025-07-05,57.78,57.60
2025-07-06,57.57,57.60
2025-07-07,57.77,57.60
2025-07-08,58.06,57.60
2025-07-09,57.52,57.60
2025-07-10,57.46,57.60
2025-07-11,57.31,57.60
2025-07-12,56.74,57.60
2025-07-13,57.17,57.60
2025-07-14,57.18,57.60
2025-07-15,57.36,57.60
2025-07-16,57.16,57.60
2025-07-17,56.58,57.60
2025-07-18,56.73,57.60
2025-07-19,56.60,57.60
2025-07-20,56.95,57.60
2025-07-21,56.40,57.60
2025-07-22,55.98,57.60
2025-07-23,56.38,57.60
2025-07-24,55.97,57.60
2025-07-25,56.27,57.60
2025-07-26,56.09,57.60
2025-07-27,56.63,57.60
2025-07-28,56.47,57.60
2025-07-29,56.19,57.60
2025-07-30,55.77,57.60
2025-07-31,55.99,57.60
2025-08-01,56.09,57.60
2025-08-02,56.10,57.60
2025-08-03,56.25,57.60
2025-08-04,55.99,57.60
2025-08-05,55.98,57.60
2025-08-06,55.83,57.60
2025-08-07,55.28,57.60
2025-08-08,55.60,57.60
2025-08-09,55.85,60.16
2025-08-10,55.72,60.16
2025-08-11,56.05,60.16
2025-08-12,55.73,60.16
2025-08-13,55.92,60.16
2025-08-14,56.26,60.16
2025-08-15,56.72,60.16
2025-08-16,56.37,60.16
2025-08-17,55.79,60.16
2025-08-18,55.30,60.16
2025-08-19,55.79,60.16
2025-08-20,55.31,60.16
2025-08-21,55.75,60.16
2025-08-22,55.59,60.16
2025-08-23,55.88,60.16
2025-08-24,55.43,60.16
2025-08-25,56.05,60.16
2025-08-26,55.95,60.16
2025-08-27,56.37,60.16
2025-08-28,56.68,60.16
2025-08-29,56.16,60.16
2025-08-30,56.20,60.16
2025-08-31,56.21,60.16
2025-09-01,56.51,60.16
2025-09-02,56.50,60.16
2025-09-03,56.79,60.16
2025-09-04,56.50,60.16
2025-09-05,57.11,60.16
2025-09-06,56.54,60.16
2025-09-07,56.66,60.16
2025-09-08,56.85,60.16
2025-09-09,56.31,60.16
2025-09-10,56.41,60.16
2025-09-11,56.81,60.16
2025-09-12,56.66,60.16
2025-09-13,56.17,60.16
2025-09-14,56.00,60.16
2025-09-15,56.17,60.16
2025-09-16,55.93,60.16
2025-09-17,56.46,60.16
2025-09-18,56.70,60.16
2025-09-19,56.12,60.16
2025-09-20,56.73,60.16
2025-09-21,56.71,60.16
2025-09-22,56.23,60.16
2025-09-23,55.79,60.16
2025-09-24,55.38,60.16
2025-09-25,55.97,60.16
2025-09-26,55.66,60.16
2025-09-27,55.85,60.16
2025-09-28,56.14,60.16
2025-09-29,55.97,60.16
2025-09-30,56.26,60.16
2025-10-01,55.83,60.16
2025-10-02,56.05,60.16
2025-10-03,56.02,60.16
2025-10-04,55.82,60.16
2025-10-05,55.31,60.16
2025-10-06,55.82,60.16
2025-10-07,55.87,60.16
2025-10-08,55.87,60.16
2025-10-09,55.42,60.16
2025-10-10,54.99,60.16
2025-10-11,54.62,60.16
2025-10-12,54.09,60.16
2025-10-13,54.12,60.16
2025-10-14,54.28,60.16
2025-10-15,53.73,60.16
2025-10-16,53.43,60.16
2025-10-17,52.93,60.16
2025-10-18,53.05,60.16
2025-10-19,53.55,60.16
2025-10-20,53.94,60.16
2025-10-21,53.76,60.16
2025-10-22,53.19,60.16
2025-10-23,52.74,60.16
2025-10-24,53.23,60.16
2025-10-25,53.62,60.16
2025-10-26,53.84,60.16
2025-10-27,53.81,60.16
2025-10-28,53.83,60.16
2025-10-29,54.01,60.16
2025-10-30,54.22,60.16
2025-10-31,54.61,60.16
2025-11-01,54.87,60.16
2025-11-02,55.30,60.16
2025-11-03,55.04,60.16
2025-11-04,54.48,60.16
2025-11-05,54.02,60.16
2025-11-06,53.67,60.16
2025-11-07,53.41,62.85
2025-11-08,53.40,62.85
2025-11-09,53.51,62.85
2025-11-10,53.95,62.85
2025-11-11,53.82,62.85
2025-11-12,53.33,62.85
2025-11-13,52.76,62.85
2025-11-14,53.30,62.85
2025-11-15,53.42,62.85
2025-11-16,53.43,62.85
2025-11-17,53.81,62.85
2025-11-18,53.35,62.85
2025-11-19,53.02,62.85
2025-11-20,53.19,62.85
2025-11-21,53.60,62.85
2025-11-22,53.98,62.85
2025-11-23,53.86,62.85
2025-11-24,53.45,62.85
2025-11-25,53.64,62.85
2025-11-26,53.12,62.85
2025-11-27,52.94,62.85
2025-11-28,53.19,62.85
2025-11-29,53.01,62.85
2025-11-30,52.74,62.85
2025-12-01,52.35,62.85
2025-12-02,52.13,62.85
2025-12-03,52.68,62.85
2025-12-04,52.38,62.85
2025-12-05,52.24,62.85
2025-12-06,51.97,62.85
2025-12-07,52.14,62.85
2025-12-08,52.51,62.85
2025-12-09,52.54,62.85
2025-12-10,52.31,62.85
2025-12-11,52.78,62.85
2025-12-12,52.28,62.85
2025-12-13,52.41,62.85
2025-12-14,52.56,62.85
2025-12-15,52.81,62.85
2025-12-16,52.40,62.85
2025-12-17,52.60,62.85
2025-12-18,52.25,62.85
2025-12-19,51.92,62.85
2025-12-20,52.33,62.85
2025-12-21,51.94,62.85
2025-12-22,52.31,62.85
2025-12-23,52.66,62.85
2025-12-24,52.99,62.85
2025-12-25,53.50,62.85
2025-12-26,54.00,62.85
2025-12-27,53.58,62.85
2025-12-28,53.39,62.85
2025-12-29,53.40,62.85
2025-12-30,53.02,62.85
2025-12-31,53.46,62.85
2026-01-01,53.36,62.85
2026-01-02,53.19,62.85
2026-01-03,52.72,62.85
2026-01-04,52.68,62.85
2026-01-05,52.37,62.85
2026-01-06,52.38,62.85
2026-01-07,52.59,62.85
2026-01-08,52.98,62.85
2026-01-09,52.92,62.85
2026-01-10,53.24,62.85
2026-01-11,53.32,62.85
2026-01-12,53.37,62.85
2026-01-13,53.80,62.85
2026-01-14,53.39,62.85
2026-01-15,53.40,62.85
2026-01-16,53.31,62.85
2026-01-17,53.57,62.85
2026-01-18,53.08,62.85
2026-01-19,53.69,62.85
2026-01-20,53.33,62.85
2026-01-21,53.82,62.85
2026-01-22,53.47,62.85
2026-01-23,53.16,62.85
2026-01-24,53.53,62.85
2026-01-25,53.19,62.85
2026-01-26,53.67,62.85
2026-01-27,53.16,62.85
2026-01-28,52.97,62.85
2026-01-29,52.72,62.85
2026-01-30,52.87,62.85
2026-01-31,52.29,62.85
2026-02-01,52.32,62.85
2026-02-02,52.54,62.85
2026-02-03,52.00,62.85
2026-02-04,52.37,62.85
2026-02-05,52.67,62.85
2026-02-06,52.41,62.85
2026-02-07,52.31,62.85
2026-02-08,52.42,62.85
2026-02-09,52.55,62.85
2026-02-10,53.16,62.85
2026-02-11,52.94,62.85
2026-02-12,52.86,62.85
2026-02-13,53.18,62.85
2026-02-14,60.00,64.00
