Date,AdjClose,Target
2025-06-10,471.05,468.00
2025-06-11,474.19,468.00
2025-06-12,470.89,468.00
2025-06-13,469.44,468.00
2025-06-14,470.02,468.00
2025-06-15,469.05,468.00
2025-06-16,466.87,468.00
2025-06-17,468.30,468.00
2025-06-18,471.94,468.00
2025-06-19,470.23,468.00
2025-06-20,467.00,468.00
2025-06-21,468.91,468.00
2025-06-22,469.77,468.00
2025-06-23,471.39,468.00
2025-06-24,470.79,468.00
2025-06-25,475.48,468.00
2025-06-26,471.48,468.00
2025-06-27,475.76,468.00
2025-06-28,478.63,468.00
2025-06-29,478.12,468.00
2025-06-30,482.26,468.00
2025-07-01,481.39,468.00
2025-07-02,477.80,468.00
2025-07-03,479.41,468.00
2025-07-04,474.78,468.00
2025-07-05,477.74,468.00
2025-07-06,480.21,468.00
2025-07-07,482.36,468.00
2025-07-08,485.98,468.00
2025-07-09,490.39,468.00
2025-07-10,489.87,468.00
2025-07-11,487.22,468.00
2025-07-12,485.83,468.00
2025-07-13,481.91,468.00
2025-07-14,479.34,468.00
2025-07-15,479.64,468.00
2025-07-16,478.53,468.00
2025-07-17,473.95,468.00
2025-07-18,474.29,468.00
2025-07-19,472.10,468.00
2025-07-20,472.80,468.00
2025-07-21,471.09,468.00
2025-07-22,472.59,468.00
2025-07-23,475.36,468.00
2025-07-24,473.26,468.00
2025-07-25,477.88,468.00
2025-07-26,479.50,468.00
2025-07-27,481.14,468.00
2025-07-28,481.54,468.00
2025-07-29,476.93,468.00
2025-07-30,479.53,468.00
2025-07-31,480.09,468.00
2025-08-01,483.28,468.00
2025-08-02,482.87,468.00
2025-08-03,479.67,468.00
2025-08-04,483.69,468.00
2025-08-05,485.24,468.00
2025-08-06,483.57,468.00
2025-08-07,487.36,468.00
2025-08-08,484.32,468.00
2025-08-09,482.30,488.80
2025-08-10,484.78,488.80
2025-08-11,480.91,488.80
2025-08-12,482.95,488.80
2025-08-13,487.26,488.80
2025-08-14,486.23,488.80
2025-08-15,482.64,488.80
2025-08-16,485.88,488.80
2025-08-17,489.41,488.80
2025-08-18,486.12,488.80
2025-08-19,484.23,488.80
2025-08-20,482.32,488.80
2025-08-21,482.23,488.80
2025-08-22,477.52,488.80
2025-08-23,478.70,488.80
2025-08-24,474.79,488.80
2025-08-25,474.31,488.80
2025-08-26,473.76,488.80
2025-08-27,469.65,488.80
2025-08-28,466.53,488.80
2025-08-29,463.57,488.80
2025-08-30,467.04,488.80
2025-08-31,466.65,488.80
2025-09-01,469.24,488.80
2025-09-02,469.53,488.80
2025-09-03,466.98,488.80
2025-09-04,464.77,488.80
2025-09-05,461.81,488.80
2025-09-06,462.62,488.80
