Date,AdjClose,Target
2025-06-10,395.61,432.00
2025-06-11,398.02,432.00
2025-06-12,399.62,432.00
2025-06-13,403.64,432.00
2025-06-14,405.80,432.00
2025-06-15,408.20,432.00
2025-06-16,406.86,432.00
2025-06-17,404.76,432.00
2025-06-18,401.53,432.00
2025-06-19,400.92,432.00
2025-06-20,404.18,432.00
2025-06-21,402.36,432.00
2025-06-22,400.34,432.00
2025-06-23,400.50,432.00
2025-06-24,396.57,432.00
2025-06-25,394.35,432.00
2025-06-26,390.59,432.00
2025-06-27,393.74,432.00
2025-06-28,391.46,432.00
2025-06-29,389.82,432.00
2025-06-30,390.32,432.00
2025-07-01,390.73,432.00
2025-07-02,392.64,432.00
2025-07-03,390.53,432.00
2025-07-04,387.93,432.00
2025-07-05,386.00,432.00
2025-07-06,383.42,432.00
2025-07-07,383.97,432.00
2025-07-08,381.21,432.00
2025-07-09,384.22,432.00
2025-07-10,386.36,432.00
2025-07-11,386.85,432.00
2025-07-12,385.81,432.00
2025-07-13,385.91,432.00
2025-07-14,385.90,432.00
2025-07-15,386.16,432.00
2025-07-16,385.38,432.00
2025-07-17,388.43,432.00
2025-07-18,391.86,432.00
2025-07-19,391.62,432.00
2025-07-20,394.80,432.00
2025-07-21,397.47,432.00
2025-07-22,398.55,432.00
2025-07-23,398.87,432.00
2025-07-24,397.33,432.00
2025-07-25,399.76,432.00
2025-07-26,400.77,432.00
2025-07-27,398.27,432.00
2025-07-28,399.96,432.00
2025-07-29,400.09,432.00
2025-07-30,400.05,432.00
2025-07-31,403.30,432.00
2025-08-01,400.74,432.00
2025-08-02,399.34,432.00
2025-08-03,400.00,432.00
2025-08-04,402.49,432.00
2025-08-05,403.81,432.00
2025-08-06,405.76,432.00
2025-08-07,409.02,432.00
2025-08-08,406.26,432.00
2025-08-09,405.29,451.20
2025-08-10,406.93,451.20
2025-08-11,406.77,451.20
2025-08-12,407.05,451.20
2025-08-13,411.13,451.20
2025-08-14,411.53,451.20
2025-08-15,414.37,451.20
2025-08-16,412.04,451.20
2025-08-17,414.64,451.20
2025-08-18,417.84,451.20
2025-08-19,415.55,451.20
2025-08-20,414.34,451.20
2025-08-21,414.88,451.20
2025-08-22,412.03,451.20
2025-08-23,411.07,451.20
2025-08-24,415.17,451.20
2025-08-25,418.31,451.20
2025-08-26,418.33,451.20
2025-08-27,421.11,451.20
2025-08-28,418.60,451.20
2025-08-29,419.96,451.20
2025-08-30,423.68,451.20
2025-08-31,422.40,451.20
2025-09-01,423.47,451.20
2025-09-02,421.51,451.20
2025-09-03,423.99,451.20
2025-09-04,423.70,451.20
2025-09-05,423.37,451.20
2025-09-06,419.83,451.20
2025-09-07,420.21,451.20
2025-09-08,418.52,451.20
2025-09-09,418.47,451.20
2025-09-10,419.16,451.20
2025-09-11,415.36,451.20
2025-09-12,414.91,451.20
2025-09-13,418.22,451.20
2025-09-14,415.52,451.20
2025-09-15,416.26,451.20
2025-09-16,420.05,451.20
2025-09-17,416.13,451.20
2025-09-18,416.94,451.20
2025-09-19,417.39,451.20
2025-09-20,414.88,451.20
2025-09-21,411.89,451.20
2025-09-22,412.60,451.20
2025-09-23,411.37,451.20
2025-09-24,415.21,451.20
2025-09-25,418.71,451.20
2025-09-26,423.01,451.20
2025-09-27,423.35,451.20
2025-09-28,424.98,451.20
2025-09-29,423.00,451.20
2025-09-30,425.71,451.20
2025-10-01,425.96,451.20
2025-10-02,423.68,451.20
2025-10-03,423.24,451.20
2025-10-04,422.58,451.20
2025-10-05,424.16,451.20
2025-10-06,421.34,451.20
2025-10-07,419.80,451.20
2025-10-08,415.84,451.20
2025-10-09,420.08,451.20
2025-10-10,423.49,451.20
2025-10-11,422.00,451.20
2025-10-12,421.27,451.20
2025-10-13,420.78,451.20
2025-10-14,420.98,451.20
2025-10-15,422.04,451.20
2025-10-16,420.00,451.20
2025-10-17,419.32,451.20
2025-10-18,423.38,451.20
2025-10-19,421.40,451.20
2025-10-20,425.49,451.20
2025-10-21,428.53,451.20
