Date,AdjClose,Target
2025-06-10,78.29,81.00
2025-06-11,77.59,81.00
2025-06-12,77.68,81.00
2025-06-13,77.19,81.00
2025-06-14,76.36,81.00
2025-06-15,76.40,81.00
2025-06-16,76.88,81.00
2025-06-17,77.16,81.00
2025-06-18,76.69,81.00
2025-06-19,76.62,81.00
2025-06-20,77.10,81.00
2025-06-21,77.46,81.00
2025-06-22,77.60,81.00
2025-06-23,77.78,81.00
2025-06-24,78.06,81.00
2025-06-25,78.69,81.00
2025-06-26,77.81,81.00
2025-06-27,77.63,81.00
2025-06-28,78.07,81.00
2025-06-29,78.73,81.00
2025-06-30,79.59,81.00
2025-07-01,79.95,81.00
2025-07-02,79.57,81.00
2025-07-03,80.16,81.00
2025-07-04,80.91,81.00
2025-07-05,80.19,81.00
2025-07-06,79.61,81.00
2025-07-07,78.99,81.00
2025-07-08,78.27,81.00
2025-07-09,79.28,81.00
2025-07-10,80.16,81.00
2025-07-11,79.33,81.00
2025-07-12,79.80,81.00
2025-07-13,79.04,81.00
2025-07-14,78.70,81.00
2025-07-15,79.02,81.00
2025-07-16,78.65,81.00
2025-07-17,79.30,81.00
2025-07-18,78.47,81.00
2025-07-19,78.78,81.00
2025-07-20,79.41,81.00
2025-07-21,78.98,81.00
2025-07-22,79.54,81.00
2025-07-23,79.01,81.00
2025-07-24,79.84,81.00
2025-07-25,80.10,81.00
2025-07-26,81.07,81.00
2025-07-27,81.50,81.00
2025-07-28,81.54,81.00
2025-07-29,81.05,81.00
2025-07-30,81.87,81.00
2025-07-31,81.59,81.00
2025-08-01,80.73,81.00
2025-08-02,80.78,81.00
2025-08-03,80.53,81.00
2025-08-04,80.99,81.00
2025-08-05,81.67,81.00
2025-08-06,81.06,81.00
2025-08-07,81.06,81.00
2025-08-08,80.63,81.00
2025-08-09,81.33,84.60
2025-08-10,81.74,84.60
2025-08-11,81.05,84.60
2025-08-12,80.44,84.60
2025-08-13,81.15,84.60
2025-08-14,80.61,84.60
2025-08-15,80.13,84.60
2025-08-16,79.44,84.60
2025-08-17,80.00,84.60
2025-08-18,79.88,84.60
2025-08-19,80.10,84.60
2025-08-20,79.44,84.60
2025-08-21,79.55,84.60
2025-08-22,79.18,84.60
2025-08-23,79.81,84.60
2025-08-24,79.03,84.60
2025-08-25,79.21,84.60
2025-08-26,79.88,84.60
2025-08-27,80.78,84.60
2025-08-28,80.69,84.60
2025-08-29,81.56,84.60
2025-08-30,81.06,84.60
2025-08-31,80.34,84.60
2025-09-01,80.51,84.60
2025-09-02,81.05,84.60
2025-09-03,80.89,84.60
2025-09-04,81.30,84.60
2025-09-05,81.45,84.60
2025-09-06,82.27,84.60
2025-09-07,82.88,84.60
2025-09-08,83.33,84.60
2025-09-09,82.72,84.60
2025-09-10,82.81,84.60
2025-09-11,83.10,84.60
2025-09-12,83.46,84.60
2025-09-13,83.81,84.60
2025-09-14,84.55,84.60
2025-09-15,84.93,84.60
2025-09-16,85.51,84.60
2025-09-17,86.49,84.60
2025-09-18,86.20,84.60
2025-09-19,85.68,84.60
2025-09-20,86.30,84.60
2025-09-21,87.01,84.60
2025-09-22,86.37,84.60
2025-09-23,85.61,84.60
2025-09-24,85.24,84.60
2025-09-25,84.83,84.60
2025-09-26,84.78,84.60
2025-09-27,85.04,84.60
2025-09-28,84.39,84.60
2025-09-29,84.77,84.60
2025-09-30,84.48,84.60
2025-10-01,84.88,84.60
2025-10-02,85.60,84.60
2025-10-03,86.48,84.60
2025-10-04,85.79,84.60
2025-10-05,85.18,84.60
2025-10-06,85.46,84.60
2025-10-07,85.56,84.60
2025-10-08,86.51,84.60
2025-10-09,86.86,84.60
2025-10-10,87.11,84.60
2025-10-11,87.95,84.60
2025-10-12,88.51,84.60
2025-10-13,88.81,84.60
2025-10-14,88.60,84.60
2025-10-15,88.11,84.60
2025-10-16,88.45,84.60
2025-10-17,89.02,84.60
2025-10-18,89.18,84.60
2025-10-19,89.13,84.60
2025-10-20,89.50,84.60
2025-10-21,88.66,84.60
2025-10-22,89.51,84.60
2025-10-23,90.32,84.60
2025-10-24,89.98,84.60
2025-10-25,89.34,84.60
2025-10-26,90.23,84.60
2025-10-27,90.46,84.60
2025-10-28,91.25,84.60
2025-10-29,91.18,84.60
2025-10-30,90.89,84.60
2025-10-31,91.49,84.60
2025-11-01,92.05,84.60
2025-11-02,92.52,84.60
2025-11-03,92.93,84.60
2025-11-04,92.76,84.60
2025-11-05,93.21,84.60
2025-11-06,93.47,84.60
2025-11-07,92.70,88.38
2025-11-08,92.16,88.38
2025-11-09,92.40,88.38
2025-11-10,93.09,88.38
2025-11-11,93.23,88.38
2025-11-12,92.78,88.38
2025-11-13,92.99,88.38
2025-11-14,92.62,88.38
2025-11-15,92.14,88.38
2025-11-16,91.98,88.38
2025-11-17,91.39,88.38
2025-11-18,90.91,88.38
2025-11-19,91.29,88.38
2025-11-20,90.50,88.38
2025-11-21,90.11,88.38
2025-11-22,90.12,88.38
2025-11-23,90.59,88.38
2025-11-24,91.01,88.38
2025-11-25,90.64,88.38
2025-11-26,91.47,88.38
2025-11-27,91.22,88.38
2025-11-28,92.10,88.38
2025-11-29,91.44,88.38
2025-11-30,91.54,88.38
2025-12-01,92.30,88.38
2025-12-02,91.69,88.38
2025-12-03,91.82,88.38
2025-12-04,91.78,88.38
2025-12-05,91.57,88.38
2025-12-06,91.80,88.38
2025-12-07,91.58,88.38
2025-12-08,91.01,88.38
2025-12-09,90.28,88.38
2025-12-10,90.09,88.38
2025-12-11,90.52,88.38
2025-12-12,90.08,88.38
2025-12-13,89.22,88.38
2025-12-14,89.82,88.38
2025-12-15,90.42,88.38
2025-12-16,90.55,88.38
2025-12-17,90.69,88.38
2025-12-18,91.28,88.38
2025-12-19,91.26,88.38
2025-12-20,90.42,88.38
2025-12-21,90.58,88.38
2025-12-22,91.24,88.38
2025-12-23,91.26,88.38
2025-12-24,90.75,88.38
2025-12-25,91.23,88.38
2025-12-26,91.27,88.38
2025-12-27,92.03,88.38
2025-12-28,92.33,88.38
2025-12-29,92.36,88.38
2025-12-30,92.28,88.38
2025-12-31,93.17,88.38
2026-01-01,93.77,88.38
2026-01-02,94.14,88.38
2026-01-03,94.19,88.38
2026-01-04,94.86,88.38
2026-01-05,95.73,88.38
2026-01-06,96.10,88.38
2026-01-07,95.63,88.38
2026-01-08,95.34,88.38
2026-01-09,95.29,88.38
2026-01-10,94.94,88.38
2026-01-11,95.76,88.38
2026-01-12,95.97,88.38
2026-01-13,95.19,88.38
2026-01-14,95.27,88.38
2026-01-15,95.80,88.38
2026-01-16,94.96,88.38
2026-01-17,94.70,88.38
2026-01-18,95.38,88.38
2026-01-19,94.66,88.38
2026-01-20,95.50,88.38
2026-01-21,94.68,88.38
2026-01-22,95.52,88.38
2026-01-23,95.52,88.38
2026-01-24,95.25,88.38
2026-01-25,94.50,88.38
2026-01-26,95.02,88.38
2026-01-27,94.15,88.38
2026-01-28,94.39,88.38
2026-01-29,94.48,88.38
2026-01-30,94.36,88.38
2026-01-31,94.56,88.38
2026-02-01,93.91,88.38
2026-02-02,93.47,88.38
2026-02-03,93.57,88.38
2026-02-04,93.36,88.38
2026-02-05,93.99,88.38
2026-02-06,94.78,88.38
2026-02-07,93.98,88.38
2026-02-08,94.09,88.38
2026-02-09,93.57,88.38
2026-02-10,92.93,88.38
2026-02-11,92.11,88.38
2026-02-12,91.82,88.38
2026-02-13,92.72,88.38
2026-02-14,95.00,90.00
