Date,AdjClose,Target
2025-06-10,27.34,23.40
2025-06-11,27.35,23.40
2025-06-12,27.18,23.40
2025-06-13,27.27,23.40
2025-06-14,27.10,23.40
2025-06-15,26.90,23.40
2025-06-16,26.88,23.40
2025-06-17,27.07,23.40
2025-06-18,27.01,23.40
2025-06-19,27.08,23.40
2025-06-20,26.89,23.40
2025-06-21,26.63,23.40
2025-06-22,26.87,23.40
2025-06-23,26.63,23.40
2025-06-24,26.71,23.40
2025-06-25,26.82,23.40
2025-06-26,26.63,23.40
2025-06-27,26.82,23.40
2025-06-28,26.73,23.40
2025-06-29,27.01,23.40
2025-06-30,26.84,23.40
2025-07-01,26.81,23.40
2025-07-02,26.92,23.40
2025-07-03,26.78,23.40
2025-07-04,26.73,23.40
2025-07-05,26.78,23.40
2025-07-06,26.98,23.40
2025-07-07,27.21,23.40
2025-07-08,27.20,23.40
2025-07-09,27.31,23.40
2025-07-10,27.36,23.40
2025-07-11,27.19,23.40
2025-07-12,27.09,23.40
2025-07-13,27.37,23.40
2025-07-14,27.37,23.40
2025-07-15,27.16,23.40
2025-07-16,27.36,23.40
2025-07-17,27.43,23.40
2025-07-18,27.44,23.40
2025-07-19,27.50,23.40
2025-07-20,27.62,23.40
2025-07-21,27.67,23.40
2025-07-22,27.42,23.40
2025-07-23,27.37,23.40
2025-07-24,27.60,23.40
2025-07-25,27.63,23.40
2025-07-26,27.88,23.40
2025-07-27,28.13,23.40
2025-07-28,28.10,23.40
2025-07-29,27.90,23.40
2025-07-30,28.09,23.40
2025-07-31,27.93,23.40
2025-08-01,27.67,23.40
2025-08-02,27.87,23.40
2025-08-03,27.60,23.40
2025-08-04,27.75,23.40
2025-08-05,27.74,23.40
2025-08-06,27.62,23.40
2025-08-07,27.64,23.40
2025-08-08,27.76,23.40
2025-08-09,27.67,24.44
2025-08-10,27.75,24.44
2025-08-11,27.70,24.44
2025-08-12,27.75,24.44
2025-08-13,27.76,24.44
2025-08-14,27.51,24.44
2025-08-15,27.48,24.44
2025-08-16,27.27,24.44
2025-08-17,27.15,24.44
2025-08-18,27.10,24.44
2025-08-19,26.83,24.44
2025-08-20,27.02,24.44
2025-08-21,27.28,24.44
2025-08-22,27.48,24.44
2025-08-23,27.53,24.44
2025-08-24,27.38,24.44
2025-08-25,27.28,24.44
2025-08-26,27.09,24.44
2025-08-27,26.87,24.44
2025-08-28,27.05,24.44
2025-08-29,27.17,24.44
2025-08-30,27.19,24.44
2025-08-31,27.04,24.44
2025-09-01,27.23,24.44
2025-09-02,27.50,24.44
2025-09-03,27.73,24.44
2025-09-04,27.93,24.44
2025-09-05,28.08,24.44
2025-09-06,27.91,24.44
2025-09-07,27.76,24.44
2025-09-08,27.85,24.44
2025-09-09,27.61,24.44
2025-09-10,27.70,24.44
2025-09-11,27.81,24.44
2025-09-12,27.68,24.44
2025-09-13,27.81,24.44
2025-09-14,28.06,24.44
2025-09-15,28.25,24.44
2025-09-16,28.11,24.44
2025-09-17,28.31,24.44
2025-09-18,28.41,24.44
2025-09-19,28.44,24.44
2025-09-20,28.59,24.44
2025-09-21,28.83,24.44
2025-09-22,28.91,24.44
2025-09-23,29.09,24.44
2025-09-24,28.95,24.44
2025-09-25,29.05,24.44
2025-09-26,29.17,24.44
2025-09-27,29.23,24.44
2025-09-28,29.51,24.44
2025-09-29,29.79,24.44
2025-09-30,29.76,24.44
2025-10-01,29.88,24.44
2025-10-02,30.16,24.44
2025-10-03,29.94,24.44
2025-10-04,30.14,24.44
2025-10-05,30.33,24.44
2025-10-06,30.29,24.44
2025-10-07,30.45,24.44
2025-10-08,30.31,24.44
2025-10-09,30.14,24.44
2025-10-10,30.37,24.44
2025-10-11,30.28,24.44
2025-10-12,30.39,24.44
2025-10-13,30.36,24.44
2025-10-14,30.28,24.44
2025-10-15,30.42,24.44
2025-10-16,30.26,24.44
2025-10-17,30.05,24.44
2025-10-18,30.18,24.44
2025-10-19,30.45,24.44
2025-10-20,30.32,24.44
2025-10-21,30.28,24.44
2025-10-22,30.40,24.44
2025-10-23,30.52,24.44
2025-10-24,30.69,24.44
2025-10-25,30.42,24.44
2025-10-26,30.66,24.44
2025-10-27,30.79,24.44
2025-10-28,31.06,24.44
2025-10-29,31.16,24.44
2025-10-30,31.06,24.44
2025-10-31,31.08,24.44
2025-11-01,31.24,24.44
2025-11-02,31.02,24.44
2025-11-03,30.82,24.44
