Date,AdjClose,Target
2025-06-10,188.88,198.00
2025-06-11,189.90,198.00
2025-06-12,190.22,198.00
2025-06-13,188.69,198.00
2025-06-14,187.44,198.00
2025-06-15,187.67,198.00
2025-06-16,185.92,198.00
2025-06-17,187.12,198.00
2025-06-18,187.87,198.00
2025-06-19,187.53,198.00
2025-06-20,187.73,198.00
2025-06-21,187.82,198.00
2025-06-22,187.19,198.00
2025-06-23,186.53,198.00
2025-06-24,186.32,198.00
2025-06-25,187.05,198.00
2025-06-26,187.89,198.00
2025-06-27,186.72,198.00
2025-06-28,185.22,198.00
2025-06-29,184.55,198.00
2025-06-30,186.10,198.00
2025-07-01,186.06,198.00
2025-07-02,186.97,198.00
2025-07-03,187.14,198.00
2025-07-04,187.37,198.00
2025-07-05,187.59,198.00
2025-07-06,188.19,198.00
2025-07-07,189.55,198.00
2025-07-08,188.20,198.00
2025-07-09,186.88,198.00
2025-07-10,187.45,198.00
2025-07-11,187.77,198.00
2025-07-12,187.51,198.00
2025-07-13,186.01,198.00
2025-07-14,186.35,198.00
2025-07-15,186.23,198.00
2025-07-16,184.95,198.00
2025-07-17,185.74,198.00
2025-07-18,184.18,198.00
2025-07-19,182.48,198.00
2025-07-20,182.43,198.00
2025-07-21,183.82,198.00
2025-07-22,183.99,198.00
2025-07-23,185.05,198.00
2025-07-24,185.71,198.00
2025-07-25,185.08,198.00
2025-07-26,183.98,198.00
2025-07-27,183.81,198.00
2025-07-28,184.99,198.00
2025-07-29,185.25,198.00
2025-07-30,183.82,198.00
2025-07-31,182.87,198.00
2025-08-01,182.39,198.00
2025-08-02,182.63,198.00
2025-08-03,182.00,198.00
2025-08-04,180.78,198.00
2025-08-05,182.06,198.00
2025-08-06,181.10,198.00
2025-08-07,181.44,198.00
2025-08-08,181.67,198.00
2025-08-09,183.25,206.80
2025-08-10,183.07,206.80
2025-08-11,184.03,206.80
2025-08-12,183.28,206.80
2025-08-13,182.23,206.80
2025-08-14,181.86,206.80
2025-08-15,180.87,206.80
2025-08-16,180.33,206.80
2025-08-17,180.45,206.80
2025-08-18,180.17,206.80
2025-08-19,178.57,206.80
2025-08-20,176.76,206.80
2025-08-21,177.20,206.80
2025-08-22,175.46,206.80
2025-08-23,176.39,206.80
2025-08-24,175.28,206.80
2025-08-25,176.23,206.80
2025-08-26,176.72,206.80
2025-08-27,175.22,206.80
2025-08-28,175.02,206.80
2025-08-29,174.01,206.80
2025-08-30,173.20,206.80
2025-08-31,174.07,206.80
2025-09-01,175.69,206.80
2025-09-02,175.26,206.80
2025-09-03,175.02,206.80
2025-09-04,173.44,206.80
2025-09-05,173.48,206.80
2025-09-06,172.54,206.80
2025-09-07,171.40,206.80
2025-09-08,169.71,206.80
2025-09-09,169.32,206.80
2025-09-10,169.21,206.80
2025-09-11,169.53,206.80
2025-09-12,168.00,206.80
2025-09-13,167.93,206.80
2025-09-14,167.02,206.80
2025-09-15,168.62,206.80
2025-09-16,167.73,206.80
2025-09-17,167.56,206.80
2025-09-18,168.90,206.80
2025-09-19,170.53,206.80
2025-09-20,170.22,206.80
2025-09-21,170.44,206.80
2025-09-22,170.45,206.80
2025-09-23,169.58,206.80
2025-09-24,168.72,206.80
2025-09-25,169.14,206.80
2025-09-26,167.71,206.80
2025-09-27,168.13,206.80
2025-09-28,166.49,206.80
2025-09-29,166.11,206.80
2025-09-30,164.52,206.80
2025-10-01,165.51,206.80
2025-10-02,165.66,206.80
2025-10-03,166.97,206.80
2025-10-04,165.30,206.80
2025-10-05,164.68,206.80
2025-10-06,163.20,206.80
2025-10-07,163.27,206.80
2025-10-08,164.86,206.80
2025-10-09,165.10,206.80
2025-10-10,163.61,206.80
2025-10-11,162.61,206.80
2025-10-12,161.58,206.80
2025-10-13,161.93,206.80
2025-10-14,160.86,206.80
2025-10-15,161.36,206.80
2025-10-16,162.12,206.80
2025-10-17,162.65,206.80
2025-10-18,161.50,206.80
2025-10-19,161.12,206.80
2025-10-20,162.28,206.80
2025-10-21,162.09,206.80
2025-10-22,162.28,206.80
2025-10-23,163.29,206.80
2025-10-24,164.36,206.80
2025-10-25,165.49,206.80
2025-10-26,164.80,206.80
2025-10-27,163.45,206.80
2025-10-28,163.25,206.80
2025-10-29,161.54,206.80
2025-10-30,161.23,206.80
2025-10-31,161.52,206.80
2025-11-01,161.73,206.80
2025-11-02,161.94,206.80
2025-11-03,161.82,206.80
2025-11-04,162.50,206.80
2025-11-05,161.57,206.80
2025-11-06,159.96,206.80
2025-11-07,159.81,216.04
2025-11-08,158.62,216.04
2025-11-09,160.17,216.04
2025-11-10,158.62,216.04
2025-11-11,156.88,216.04
2025-11-12,156.35,216.04
2025-11-13,154.59,216.04
2025-11-14,154.23,216.04
2025-11-15,154.13,216.04
2025-11-16,155.29,216.04
2025-11-17,156.45,216.04
2025-11-18,157.53,216.04
2025-11-19,156.31,216.04
2025-11-20,156.49,216.04
2025-11-21,158.07,216.04
2025-11-22,157.63,216.04
2025-11-23,158.90,216.04
2025-11-24,157.58,216.04
2025-11-25,156.88,216.04
2025-11-26,156.37,216.04
2025-11-27,157.86,216.04
2025-11-28,159.21,216.04
2025-11-29,157.70,216.04
2025-11-30,156.37,216.04
2025-12-01,156.73,216.04
2025-12-02,158.42,216.04
2025-12-03,159.28,216.04
2025-12-04,160.46,216.04
2025-12-05,161.68,216.04
2025-12-06,161.64,216.04
2025-12-07,162.67,216.04
2025-12-08,161.82,216.04
2025-12-09,160.67,216.04
2025-12-10,160.82,216.04
2025-12-11,162.17,216.04
2025-12-12,160.87,216.04
2025-12-13,162.22,216.04
2025-12-14,160.60,216.04
2025-12-15,162.21,216.04
2025-12-16,163.78,216.04
2025-12-17,165.16,216.04
2025-12-18,164.98,216.04
2025-12-19,166.37,216.04
2025-12-20,166.70,216.04
2025-12-21,166.34,216.04
2025-12-22,166.55,216.04
2025-12-23,166.57,216.04
2025-12-24,165.10,216.04
2025-12-25,166.35,216.04
2025-12-26,165.99,216.04
2025-12-27,164.94,216.04
2025-12-28,163.97,216.04
2025-12-29,162.99,216.04
2025-12-30,163.01,216.04
2025-12-31,162.03,216.04
2026-01-01,163.18,216.04
2026-01-02,164.37,216.04
2026-01-03,165.44,216.04
2026-01-04,164.25,216.04
2026-01-05,165.77,216.04
2026-01-06,164.52,216.04
2026-01-07,163.36,216.04
2026-01-08,163.75,216.04
2026-01-09,162.20,216.04
2026-01-10,163.09,216.04
2026-01-11,161.95,216.04
2026-01-12,160.44,216.04
2026-01-13,161.79,216.04
2026-01-14,161.45,216.04
2026-01-15,161.47,216.04
2026-01-16,161.55,216.04
2026-01-17,162.50,216.04
2026-01-18,163.09,216.04
2026-01-19,163.07,216.04
2026-01-20,163.30,216.04
2026-01-21,164.47,216.04
2026-01-22,165.10,216.04
2026-01-23,164.33,216.04
2026-01-24,164.14,216.04
2026-01-25,164.20,216.04
2026-01-26,165.20,216.04
2026-01-27,165.90,216.04
2026-01-28,164.28,216.04
2026-01-29,162.64,216.04
2026-01-30,163.44,216.04
2026-01-31,164.16,216.04
2026-02-01,162.55,216.04
2026-02-02,161.80,216.04
2026-02-03,162.52,216.04
2026-02-04,162.17,216.04
2026-02-05,161.21,216.04
2026-02-06,161.89,216.04
2026-02-07,162.21,216.04
2026-02-08,161.50,216.04
2026-02-09,162.36,216.04
2026-02-10,162.65,216.04
2026-02-11,162.80,216.04
2026-02-12,163.99,216.04
2026-02-13,162.46,216.04
2026-02-14,175.00,220.00
