Date,AdjClose,Target
2025-06-10,124.89,112.50
2025-06-11,123.88,112.50
2025-06-12,123.31,112.50
2025-06-13,123.91,112.50
2025-06-14,123.62,112.50
2025-06-15,123.25,112.50
2025-06-16,123.05,112.50
2025-06-17,122.99,112.50
2025-06-18,121.91,112.50
2025-06-19,121.63,112.50
2025-06-20,121.76,112.50
2025-06-21,121.42,112.50
2025-06-22,122.16,112.50
2025-06-23,121.00,112.50
2025-06-24,121.08,112.50
2025-06-25,121.52,112.50
2025-06-26,121.70,112.50
2025-06-27,120.95,112.50
2025-06-28,121.19,112.50
2025-06-29,121.33,112.50
2025-06-30,120.25,112.50
2025-07-01,119.72,112.50
2025-07-02,119.46,112.50
2025-07-03,119.65,112.50
2025-07-04,119.06,112.50
2025-07-05,119.71,112.50
2025-07-06,119.57,112.50
2025-07-07,119.28,112.50
2025-07-08,119.70,112.50
2025-07-09,119.85,112.50
2025-07-10,119.59,112.50
2025-07-11,119.71,112.50
2025-07-12,118.92,112.50
2025-07-13,119.79,112.50
2025-07-14,119.80,112.50
2025-07-15,120.62,112.50
2025-07-16,119.91,112.50
2025-07-17,120.97,112.50
2025-07-18,120.31,112.50
2025-07-19,119.39,112.50
2025-07-20,118.97,112.50
2025-07-21,117.91,112.50
2025-07-22,117.93,112.50
2025-07-23,117.59,112.50
2025-07-24,117.09,112.50
2025-07-25,116.41,112.50
2025-07-26,116.74,112.50
2025-07-27,117.23,112.50
2025-07-28,117.29,112.50
2025-07-29,116.75,112.50
2025-07-30,117.38,112.50
2025-07-31,117.36,112.50
2025-08-01,118.17,112.50
2025-08-02,117.79,112.50
2025-08-03,118.40,112.50
2025-08-04,119.35,112.50
2025-08-05,119.31,112.50
2025-08-06,119.57,112.50
2025-08-07,118.78,112.50
2025-08-08,118.80,112.50
2025-08-09,117.98,117.50
2025-08-10,117.51,117.50
2025-08-11,117.64,117.50
2025-08-12,118.06,117.50
2025-08-13,116.90,117.50
2025-08-14,117.86,117.50
2025-08-15,117.03,117.50
2025-08-16,117.53,117.50
2025-08-17,117.78,117.50
2025-08-18,117.10,117.50
2025-08-19,117.31,117.50
2025-08-20,116.52,117.50
2025-08-21,117.57,117.50
2025-08-22,117.18,117.50
2025-08-23,116.67,117.50
2025-08-24,117.61,117.50
2025-08-25,118.51,117.50
2025-08-26,117.66,117.50
2025-08-27,118.30,117.50
2025-08-28,118.86,117.50
2025-08-29,119.14,117.50
2025-08-30,120.04,117.50
2025-08-31,119.92,117.50
2025-09-01,120.32,117.50
2025-09-02,119.93,117.50
2025-09-03,119.77,117.50
2025-09-04,120.27,117.50
2025-09-05,120.70,117.50
2025-09-06,119.92,117.50
2025-09-07,120.92,117.50
2025-09-08,121.14,117.50
2025-09-09,121.08,117.50
2025-09-10,121.50,117.50
2025-09-11,121.74,117.50
2025-09-12,120.65,117.50
2025-09-13,120.85,117.50
2025-09-14,120.75,117.50
